IAGA	Name	Country	Colatitute	East Longitude	Institute	GIN
AAA	Alma Ata	Kazakhstan	46.8	76.9	IIRK	Edi
AAE	Addis Ababa	Ethiopia	80.97 	38.77 	AAU, IPGP	Par
ABG	Alibag	India	71.38	72.87	IIG	Kyo
ABK	Abisko	Sweden	21.642	18.823	SGU	Edi
AIA	Argentine Islands (Akademik Vernadsky base)	Antarctica	155.25	295.75	NASC	Ott
ALE*	Alert	Canada	7.503	297.647	GSC	Ott
AMS	Martin de Vivies-Amsterdam Island	French Southern and Antarctic Lands	127.8	77.57	EOST	Par
API	Apia	Western Samoa	103.8	188.22	MNRE	Edi
AQU*	L'Aquila	Italy	47.62	13.32	INGV	Par
ARS	Arti	Russia	33.567	58.567	IG UB RAS, GCRAS	Edi
ASC	Ascension Island	United Kingdom	97.95	345.62	BGS	Edi
ASP	Alice Springs	Australia	113.77	133.88	GA	Edi
BDV	Budkov	Czech Republic	40.92	14.02	ASCR	Edi
BEL	Belsk	Poland	38.16	20.79	PAS	Edi
BFE*	Brorfelde	Denmark	34.375	11.672	DTU	Kyo
BFO	Black Forest	Germany	41.669	8.325	GGUKS	Edi
BLC	Baker Lake	Canada	25.682	263.988	GSC	Ott
BMT	Beijing Ming Tombs	China	49.7	116.2	IGGCAS	Kyo
BNG*	Bangui	Central African Republic	85.67	18.57	IRD	Par
BOU	Boulder	United States of America	49.86	254.76	USGS	Gol
BOX	Borok	Russia	31.93	38.23	GCRAS, IPGP	Par
BRD	Brandon	Canada	40.13	260.0261	GSC	Ott
BRW	Barrow	United States of America	18.68	203.38	USGS	Gol
BSL	Stennis Space Center	United States of America	59.65	270.36	USGS	Gol
CBB	Cambridge Bay	Canada	20.877	254.969	GSC	Ott
CKI	Cocos-Keeling Islands	Australia	102.1875	96.8336	GA	Edi
CLF	Chambon la Foret	France	41.98	2.27	IPGP	Par
CMO	College	United States of America	25.13	212.14	USGS	Gol
CNB	Canberra	Australia	125.32	149.36	GA	Edi
CNH	Changchun	China	45.92	124.86	CEA	Edi
CSY	Casey Station	Antarctica	156.283	110.533	GA	Edi
CTA	Charters Towers	Australia	110.1	146.3	GA	Edi
CYG	Cheongyang	Republic of Korea	53.63	126.854	KMA	Kyo
CZT	Port Alfred	French Southern and Antarctic Lands	136.43	51.87	EOST	Par
DED	Deadhorse	United States of America	19.64	211.21	USGS	Gol
DLR*	Del Rio	United States of America	60.5	259.08	USGS	Gol
DLT	Dalat	Vietnam	78.06	108.48	VAST, IPGP	Par
DMC	Dome C	Antarctica	165.25	124.167	EOST, INGV	Par
DOU	Dourbes	Belgium	39.9	4.6	RMIB	Edi
DRV	Dumont d'Urville	Antarctica	156.67	140.01	EOST	Par
DUR	Duronia	Italy	48.61	14.28	INGV	Par
EBR	Ebro	Spain	49.043	0.333	OEB	Par
ESK	Eskdalemuir	United Kingdom	34.68	356.8	BGS	Edi
EYR	Eyrewell	New Zealand	133.474	172.393	GNS	Edi
FCC	Fort Churchill	Canada	31.241	265.912	GSC	Ott
FRD	Fredericksburg	United States of America	51.8	282.63	USGS	Gol
FRN	Fresno	United States of America	52.91	240.28	USGS	Gol
FUR	Furstenfeldbruck	Germany	41.83	11.28	LMU	Edi
GAN	Gan	Maldives	89.3054	73.1537	ETH	Edi
GCK	Grocka	Serbia	45.4	20.8	GIG	Edi
GDH	Qeqertarsuaq (Godhavn)	Greenland	20.748	306.467	DTU	Kyo
GLN*	Glenlea	Canada	40.355	262.880	GSC	Ott
GNA*	Gnangara	Australia	121.8	116.0	GA	Edi
GNG	Gingin	Australia	121.356	115.715	GA	Edi
GUA	Guam	United States of America	76.41	144.87	USGS	Gol
GUI	Guimar-Tenerife	Spain	61.68	343.57	IGNS	Par
GZH	Zhaoqing	China	67	112.5	CEA	Edi
HAD	Hartland	United Kingdom	39	355.52	BGS	Edi
HBK	Hartebeesthoek	South Africa	115.88	27.71	SANSA	Edi
HER	Hermanus	South Africa	124.43	19.23	SANSA	Edi
HLP	Hel	Poland	35.39	18.82	PAS	Edi
HON	Honolulu	United States of America	68.68	202.0	USGS	Gol
HRB	Hurbanovo	Slovakia	42.14	18.19	SAS	Par
HRN	Hornsund	Norway	13	15.37	PAS	Edi
HUA	Huancayo	Peru	102.05	284.67	IGP	Edi
HYB	Hyderabad	India	72.6	78.6	NGRI, GFZ	Edi
IPM	Isla de Pascua Mataveri (Easter Island)	Chile	117.2	250.58	DMC, IPGP	Par
IQA	Iqaluit	Canada	26.247	291.482	GSC	Ott
